,Angle
0,-2.3018545209375962
1,-2.3018545209375962
2,-2.3018545209375962
3,-0.33600773179499877
4,-0.33600773179499877
5,-0.33600773179499877
6,-0.3238350693795415
7,-0.315569452349227
8,-0.3034694072643883
9,-0.2914820635966787
10,-0.27801233767664807
11,-0.27801233767664807
12,-0.26167195238077706
13,-0.24513546958746307
14,-0.22928101951589341
15,-0.20839256030739117
16,-0.19282958469881337
17,-0.17007601924333074
18,-0.14992910062449263
19,-0.1298250152374961
20,-0.10770346763172595
21,-0.08659620555806681
22,-0.060182272600170214
23,-0.03939192272515858
24,-0.03939192272515858
25,-0.013010039641447887
26,0.009974271032336793
27,0.030480348851870294
28,0.057246111409824746
29,0.07849971352058323
30,0.10387263554639123
31,0.12355395699686633
32,0.14332947528542106
33,0.16687650368141055
34,0.18533172055110095
35,0.2065473042886534
36,0.22331031775101676
37,0.22331031775101676
38,0.2387839441423124
39,0.2560289819697531
40,0.27201357151373357
41,0.2840975316599107
42,0.2950310608278821
43,0.3064931201308996
44,0.3150187278266487
45,0.3227597310228997
46,0.32813160374289213
47,0.33230221295635815
48,0.3343543397397577
49,0.3351107432979696
50,0.3351107432979696
51,0.33508346681337153
52,0.3348654318436797
53,0.3342037712104564
54,0.33280223783488116
55,0.32969187590527493
56,0.32490737189027585
57,0.31767209551414477
58,0.3055553205264035
59,0.2939494082256317
60,0.2798340649833898
61,0.26369779387102327
62,0.24834537986169455
63,0.22901195662630874
64,0.21180115471525462
65,0.21180115471525462
66,0.1899437986311848
67,0.17113102246934614
68,0.15096671475311496
69,0.13063873429235576
70,0.1061656163318391
71,0.08495310801449382
72,0.06287031251884075
73,0.03604611762978966
74,0.014759611921219778
75,-0.007217571570435766
76,-0.029330923158289075
77,-0.054496444240325
78,-0.07670332259824653
79,-0.09773611808572726
80,-0.12083301279500672
81,-0.1393747337836958
82,-0.16255775841107017
83,-0.16255775841107017
84,-0.18269630367373382
85,-0.1982511301151567
86,-0.21456450005328997
87,-0.23006782777555346
88,-0.24776987475612752
89,-0.2629742822878249
90,-0.2776835991896705
91,-0.2895263940320514
92,-0.3018571725266387
93,-0.31061877341316835
94,-0.3194560683832468
95,-0.3259412579556956
96,-0.3312990493527331
97,-0.3312990493527331
98,-0.3353424577810908
99,-0.33719646878134335
100,-0.3376484224776182
101,-0.33758126939449534
102,-0.33735208147760565
103,-0.33657723783084026
104,-0.33490868922105665
105,-0.33108548659360965
106,-0.32527581530992106
107,-0.3175152507901158
108,-0.3055307462872148
109,-0.29413962731479737
110,-0.28090663776727975
111,-0.26474846592080337
112,-0.24851128356517702
113,-0.23238541277941524
114,-0.2160389347687188
115,-0.19871379534536407
116,-0.19871379534536407
117,-0.17830879381974107
118,-0.15778905626554093
119,-0.13400637908411023
120,-0.1158356768312283
121,-0.09495863046008778
122,-0.06919119639863315
123,-0.048009812700578296
124,-0.026306286009686323
125,0.0007795790825682597
126,0.02131372407357508
127,0.043251734583417925
128,0.06944220562832053
129,0.091638865415149
130,0.11529054936138404
131,0.11529054936138404
132,0.13553072417857567
133,0.1553054394575055
134,0.17434565206282399
135,0.1921252437946227
136,0.21288124707303324
137,0.2292313214760716
138,0.24693896002788962
139,0.26112989355843286
140,0.2745622328820584
141,0.2887447932188949
142,0.2991540108042165
143,0.30842195582945464
144,0.31799670487339965
145,0.3241837105484179
146,0.3292979170838613
147,0.3292979170838613
148,0.33308977756061436
149,0.33483997886124534
150,0.3353028223133152
151,0.3352674641294815
152,0.33499813842034665
153,0.33396941095860605
154,0.3322185805240841
155,0.3290658547654099
156,0.3221870900231859
157,0.3144126878536967
158,0.3033877988572686
159,0.29145892076736707
160,0.2755032925115127
161,0.2606615364180869
162,0.24508126970459232
163,0.22894352561059367
164,0.22894352561059367
165,0.20835846573328695
166,0.18969164552017925
167,0.16645813002128057
168,0.14259083868975903
169,0.12209797907894988
170,0.10198039824197937
171,0.0762161689875802
172,0.05436233986931741
173,0.027391653276533857
174,0.0026012046649907254
175,0.0026012046649907254
176,-0.019904418409120092
177,-0.042058271658317964
178,-0.0671042825807593
179,-0.08829440305335118
180,-0.1094733197033218
181,-0.1312138695734188
182,-0.15052466725985547
183,-0.1741791260606126
184,-0.19205135390052847
185,-0.20745101465256507
186,-0.22761206167464326
187,-0.24199411626154585
188,-0.2611415003483264
189,-0.2611415003483264
190,-0.27417556976297597
191,-0.28612495626198137
192,-0.2992408874710656
193,-0.30872549105246194
194,-0.31650346860722145
195,-0.32349382586405995
196,-0.3310476593334152
197,-0.3352406051921599
198,-0.337775530985292
199,-0.3391878767116696
200,-0.3392197821321632
201,-0.33915561940834005
202,-0.33861687665947576
203,-0.33704137640946014
204,-0.33704137640946014
205,-0.33434330589067485
206,-0.3296019370977178
207,-0.32067525730774804
208,-0.3114534866499274
209,-0.29825122315186486
210,-0.28529393721250196
211,-0.27188930819335705
212,-0.25306848326246617
213,-0.2358497760167391
214,-0.2201598033328219
215,-0.19844431795973808
216,-0.1817365171465051
217,-0.1603924224486978
218,-0.13676189952782325
219,-0.13676189952782325
220,-0.11753692278129318
221,-0.0978999316171334
222,-0.07208285812881707
223,-0.05019445439242652
224,-0.02915532836192225
225,-0.0030392132159992404
226,0.01866857290073564
227,0.04002134889105421
228,0.062371665060165955
229,0.08808051730682512
230,0.10855391620003728
231,0.12855334168168533
232,0.1523337573081513
233,0.17147069801930465
234,0.1896456693654212
235,0.21066495223865547
236,0.21066495223865547
237,0.2271869177796094
238,0.24234343576111864
239,0.2593737500653321
240,0.27291722999835616
241,0.28487408390493635
242,0.29771474247132695
243,0.30733880172581524
244,0.3172307499655355
245,0.3234397251576077
246,0.32904108367097673
247,0.3332007503818591
248,0.3351027102473908
249,0.33580766974671517
250,0.33580766974671517
251,0.3357820236397911
252,0.33558322547750513
253,0.3347409678449351
254,0.3332584028851808
255,0.33054742928533953
256,0.32400139426355395
257,0.316627477565009
258,0.306218612237201
259,0.2943398202854162
260,0.27861145405576004
261,0.2640123129713063
262,0.2458066413596917
263,0.2295887768234801
264,0.2122461982038584
265,0.19038282760050632
266,0.19038282760050632
267,0.1715396503266638
268,0.15152547866204924
269,0.12734040387249235
270,0.10314150268124123
271,0.08151647961667799
272,0.06004310900052095
273,0.037383609160186196
274,0.0125447570208902
275,-0.010396029969971524
276,-0.032450145257848596
277,-0.057083698738952894
278,-0.07836973932707092
279,-0.10378773683053048
280,-0.10378773683053048
281,-0.12141317490512027
282,-0.14112811525116817
283,-0.16382352769973937
284,-0.18380494205931502
285,-0.19963969153775035
286,-0.2207008472956388
287,-0.2379528103640745
288,-0.2543385078004057
289,-0.2690544394388943
290,-0.28365221797283835
291,-0.2948939625331344
292,-0.2948939625331344
293,-0.3063508472261122
294,-0.3147864275407376
295,-0.32369978695433405
296,-0.33021188329080764
297,-0.33538397212582066
298,-0.337905456332104
299,-0.3392078205682869
300,-0.3393266250336356
301,-0.33926578791716805
302,-0.33889001742183555
303,-0.3378429536027677
304,-0.33521624747971773
305,-0.33098508901098544
306,-0.3222905176594439
307,-0.31309096180310975
308,-0.31309096180310975
309,-0.30231880843731024
310,-0.290298553208434
311,-0.27426193767302953
312,-0.25934619120523406
313,-0.23797665175310295
314,-0.22260649781027964
315,-0.2042941825133354
316,-0.18425409627782036
317,-0.16316865389377644
318,-0.14391744974130652
319,-0.12380119536962474
320,-0.10154837674382307
